Date,Close
2007/1/3,77.12
2007/1/4,77.22
2007/1/5,75.79
2007/1/8,75.9
2007/1/9,76.86
2007/1/10,77.85
2007/1/11,78.86
2007/1/12,79.11
2007/1/16,80.24
2007/1/17,80.2
2007/1/18,80.1
2007/1/19,80.9
2007/1/22,80.22
2007/1/23,80.6
2007/1/24,81.65
2007/1/25,82.15
2007/1/26,82.42
2007/1/29,82.69
2007/1/30,83.1
2007/1/31,83.76
2007/2/1,84.09
2007/2/2,84.24
2007/2/5,84.24
2007/2/6,85.48
2007/2/7,87.27
2007/2/8,86.6
2007/2/9,85.6
2007/2/12,84.05
2007/2/13,85.68
2007/2/14,85.07
2007/2/15,85.7
2007/2/16,85.48
2007/2/20,86.14
2007/2/21,85.86
2007/2/22,85.4
2007/2/23,83.91
2007/2/26,83.49
2007/2/27,80.9
2007/2/28,81.4
2007/3/1,80.68
2007/3/2,79.4
2007/3/5,76.31
2007/3/6,79.11
2007/3/7,78
2007/3/8,79.25
2007/3/9,80.3
2007/3/12,80.7
2007/3/13,78.8
2007/3/14,79.18
2007/3/15,79.89
2007/3/16,79
2007/3/19,79.79
2007/3/20,80.11
2007/3/21,81.08
2007/3/22,81.16
2007/3/23,81.21
2007/3/26,79.45
2007/3/27,78.62
2007/3/28,78.1
2007/3/29,78.23
2007/3/30,79.35
2007/4/2,79.35
2007/4/3,80.55
2007/4/4,80.15
2007/4/5,80.07
2007/4/9,80.22
2007/4/10,80.55
2007/4/11,79.35
2007/4/12,78.81
2007/4/13,79.7
2007/4/16,79.8
2007/4/17,80.84
2007/4/18,80.34
2007/4/19,79.8
2007/4/20,80.4
2007/4/23,81.3
2007/4/24,80.75
2007/4/25,80.7
2007/4/26,80.75
2007/4/27,80.55
2007/4/30,79.25
2007/5/1,78.56
2007/5/2,79.18
2007/5/3,79.39
2007/5/4,78.7
2007/5/7,78.92
2007/5/8,78.4
2007/5/9,79.25
2007/5/10,78.19
2007/5/11,79.25
2007/5/14,78.8
2007/5/15,77.6
2007/5/16,76.64
2007/5/17,75.31
2007/5/18,74.55
2007/5/21,74.85
2007/5/22,75.96
2007/5/23,75.38
2007/5/24,74.12
2007/5/25,74.54
2007/5/29,77.2
2007/5/30,79.27
2007/5/31,78.95
2007/6/1,79.06
2007/6/4,79.38
2007/6/5,78.12
2007/6/6,77.59
2007/6/7,75.15
2007/6/8,76.05
2007/6/11,74.91
2007/6/12,73.61
2007/6/13,75.24
2007/6/14,74.43
2007/6/15,75.25
2007/6/18,74.09
2007/6/19,74.23
2007/6/20,72
2007/6/21,72.4
2007/6/22,72.13
2007/6/25,70.07
2007/6/26,69.8
2007/6/27,71.59
2007/6/28,71.22
2007/6/29,70.95
2007/7/2,72.59
2007/7/3,72.39
2007/7/5,73.48
2007/7/6,73.39
2007/7/9,73.34
2007/7/10,71.48
2007/7/11,71.34
2007/7/12,72.26
2007/7/13,72.95
2007/7/16,72.34
2007/7/17,72.08
2007/7/18,71.92
2007/7/19,72.19
2007/7/20,70.93
2007/7/23,69.7
2007/7/24,68.29
2007/7/25,67.55
2007/7/26,66.31
2007/7/27,64.11
2007/7/30,65.35
2007/7/31,65.09
2007/8/1,65.95
2007/8/2,67.04
2007/8/3,64.45
2007/8/6,66.7
2007/8/7,67.07
2007/8/8,69.72
2007/8/9,68.95
2007/8/10,66.87
2007/8/13,66.55
2007/8/14,64.64
2007/8/15,63.55
2007/8/16,66.1
2007/8/17,67.6
2007/8/20,68.84
2007/8/21,69.16
2007/8/22,70
2007/8/23,68.8
2007/8/24,69.17
2007/8/27,67.67
2007/8/28,65.6
2007/8/29,68
2007/8/30,68.35
2007/8/31,69.48
2007/9/4,70.4
2007/9/5,68.71
2007/9/6,69.32
2007/9/7,67.65
2007/9/11,68.34
2007/9/12,67.94
2007/9/13,69.47
2007/9/14,69.92
2007/9/17,69.41
2007/9/18,71.88
2007/9/19,73.23
2007/9/20,71.33
2007/9/21,71.84
2007/9/24,72.45
2007/9/25,70.65
2007/9/26,71.68
2007/9/27,72.23
2007/9/28,71.46
2007/10/1,73.2
2007/10/2,74.53
2007/10/3,74.17
2007/10/4,74.93
2007/10/5,76.69
2007/10/8,75.24
2007/10/9,76.08
2007/10/10,75.55
2007/10/11,75.25
2007/10/12,74.54
2007/10/15,73.14
2007/10/16,72.25
2007/10/17,72.14
2007/10/18,72.16
2007/10/19,69.09
2007/10/22,70.9
2007/10/23,71.65
2007/10/24,70.45
2007/10/25,70.6
2007/10/26,71.67
2007/10/29,70.5
2007/10/30,71.47
2007/10/31,72.96
2007/11/1,69.55
2007/11/2,68.56
2007/11/5,67.57
2007/11/6,68.42
2007/11/7,66.29
2007/11/8,66.49
2007/11/9,65.95
2007/11/12,66.71
2007/11/13,68.92
2007/11/14,67.52
2007/11/15,67.4
2007/11/16,66.14
2007/11/19,64.7
2007/11/20,63.45
2007/11/21,63.01
2007/11/27,62.6
2007/11/28,65.35
2007/11/29,64.3
2007/11/30,66.05
2007/12/3,65.34
2007/12/4,63.58
2007/12/5,65.72
2007/12/6,67.81
2007/12/7,67.57
2007/12/10,69.02
2007/12/11,65.38
2007/12/12,65.16
2007/12/13,64.42
2007/12/14,62.8
2007/12/17,60.86
2007/12/19,62.43
2007/12/20,61.16
2007/12/21,62.36
2007/12/26,63.31
2007/12/27,62.05
2007/12/28,60.96